EventId,EventTemplate,Occurrences
2647401e,L3 machine check. Controller=0 group=7 status=0  L31=0x00000000,2
f63a02ed,An illegal instruction was executed by the kernel. Signal=0x00000004 IP=0xFFF500A0 LR=0xFFF41358 MSR=0x00002000 DEAR=0x00000000 ESR=0x08000000,1
ffa6a784,Service Action  on  was forced closed by by ,7
01ebfcad,A memory  was attempted to an invalid address by the kernel. Signal=0x0000000B   MSR=0x00023200  ,261
5bff1290,mmcs_server terminated stopped by administrator. Recovery Action: administrator must restart server.,1
c1c26da4,MMCS has been started: ... --useDatabase BGP --dbproperties ... --iolog ... --reconnect-blocks all --boot-timeout-and-free 30 --boot-timeout-node-multiplier 240 --no-reconnect --reconnect-blocks all,12
3e9932df,Insufficient memory error. Linux has insufficient free memory to satisfy a request for more memory.,318
35e21e82,A Link Chip HSS built in self test failed: Port C HssbistStatus is  expected 0xffffe00000000000,23
92b8a796,DDR Controller 1 bit  bad location: BPC pin  BPC module pin  compute trace  DRAM chip  DRAM pin ,34
e211894e,This error is likely a hardware error. The following details will be useful for Blue Gene support: Torus coordinates=(2 7 4) DCR 0xD93=0x80000000 DCR 0xD97=0x00001A18 DCR 0xD98=0x0000180C DCR 0xD99=0x00002A18 DCR 0xD9A=0x0000280C DCR 0xD9B=0x80800000 DCR 0xD9C=0x4A000000 DCR 0xD9D=0x02080900,1
5b61e06b,A Link Chip port is using a spare channel to circumvent a faulty synchronous wire. Port =  Position =  Spare = ,577
3cf73f0e,Torus Coords    Probable Software Error(s):  Probable Hardware Error(s): 1,2
fa45cc33,Correctable torus hdrfull errors:  correctable errors were detected at location   ,1532
774a7ef4,Checksum miscompare in  repetition  test  Checksum is  but should be ,88
c72b2d56,mmcs_server has been restarted: ... --baselogdir ... --binpath ... --configpath ... --db2profile ... --dbproperties ... --no-reconnect --reconnect-blocks all,10
332c20e0,BGPMaster has been stopped,25
428d4f91,BGPMaster has been started: .... --consoleip 127.0.0.1 --consoleport 32035 --configpath ... --configfile bgpmaster.init --autorestart y --dbproperties ... --baselogdir ...,27
b5609f89,mmcs_server has been started: ... --baselogdir ... --binpath ... --configpath ... --db2profile ... --dbproperties ...,27
78da6b9d,mpirund has been started: ... --baselogdir ... --binpath ... --configpath ... --db2profile ... --dbproperties ...,27
dfca9024,navigator_server has been started: ... --baselogdir ... --binpath ... --configpath ... --db2profile ... --dbproperties ...,29
3ea4f32e,submit_server has been started: ... --baselogdir ... --binpath ... --configpath ... --db2profile ... --dbproperties ...,28
8f72b7a1,Unable to get this processor cards nominal PTMON temperature: rc=0xFFFFFFFE,2
a4388910,An error(s) was detected by the Clock card : Error=Loss of reference input,3
f75ae373,DMA unit  counter  has underflowed at torus location   ,4032
88a06770,An attempt was made to send a DMA message of length 0 at torus location    The FIFO ID was ,385
02720425,Lbist miscompare for MISR0  !=  on R14-M0-N03-J09 for domain PPC 450 core  clock_x1,8
4eb30425,Lbist failed in mode  in clock domain PPC 450 core  clock_x1 on R14-M0-N03-J09,8
445791c6,Lbist miscompare for MISR0 0x475f3f29231d0ad0 != 0xaf8c3e4819fee6f0 on R14-M0-N03-J09 for domain L2 Cache... Filter... Stop Unit clock_x1,1
be74e2ce,Lbist failed in mode 4 in clock domain L2 Cache... Filter... Stop Unit clock_x1 on R14-M0-N03-J09,1
101514a3,Lbist miscompare for MISR0 0xe01bc88371d9e414 != 0x2e55ab2a873360d8 on R14-M0-N03-J09 for domain L2 Cache... Filter... Arbiter... Controller... Interface... clock_x2,1
9993a5d5,Lbist failed in mode 5 in clock domain L2 Cache... Filter... Arbiter... Controller... Interface... clock_x2 on R14-M0-N03-J09,1
71c69ae4,Lbist miscompare for MISR0  != 0x678f3e2cbf516880 on R14-M0-N03-J09 for domain  ,4
583d946b,Lbist failed in mode  in clock domain   on R14-M0-N03-J09,4
e925a75f,Lbist miscompare for   !=  on  for domain Master DCR... and Collective DCR... OPB Slv... Sync clock_x8,2
552abc14,Lbist failed in mode 7 in clock domain Master DCR... and Collective DCR... OPB Slv... Sync clock_x8 on ,2
017d4965,Lbist miscompare for MISR0  !=  on R14-M0-N03-J09 for domain   ,6
721cdd2f,Lbist failed in mode  in clock domain    on R14-M0-N03-J09,6
875cf3c8,Lbist miscompare for   !=  on  for domain    ,198
5cfbd59e,Lbist failed in mode  in clock domain     on ,30
da356060,A DMA message sent by node   0x00000003) failed to be received in the  direction by node    0x02DC6C00 bytes of data did not make it.,24
2ca3ee52,Correctable torus reception SRAM errors:  correctable errors were detected at location 0x00000005 0x0000001F 0x00000009.,210
e04df944,DDR controller machine check. DDR Controller  raised machine checks: MM   Error no address captured.,9
5f8afbe7,Service Action  on  failed with error code -221. Errors occurred updating the hardware associated with  in the database. Examine the log file ... for information related to the failure.,2
0d01041d,navigator_server terminated stopped by administrator. Recovery Action: administrator must restart server.,2
0beb656d,Had to retry before this card would start. : NumberOfRetries=1,15
5bcac3a7,A processor cards vpd within this node card does not contain an expected keyword : ProcCard=R24-M1-N05-J18 sVpdKey=U0,1
efd4c18a,The fan speed for location R40-M0-A4 fan number 1 is out of the range of expected values. Expected speed is  RPM and the actual speed is  RPM.,1412
0d11b520,1.5 power rail is high 4.152.,1
127a723e,1.8 power rail is  ,33
46f86345,3.3 power rail is high 4.386.,1
4c231aa0,5.0 power rail is  ,17
48877bb9,Service Action  has prepared the  in  to be serviced.,8
1dbf07b3,Successfully prepared this Fan Module to be serviced. : FanModule=R40-M0-A4,2
965f3074,MMCS could not contact  at location: ,13671
e5c51e8a,Could not write a fan module register (desired speed) :  ,21
2087ac7d,MMCS detected an error in a power module at location R35-M0-N11-P7. Error type is general power module fault.,153
69d9f73a,ela_server has been  ... --baselogdir ... --binpath ... --configpath ... --db2profile ... --dbproperties ...,22
1fe4ec75,ela_server terminated      within a minute of startup. Recovery Action: Administrator must restart server.,9
a47ed4aa,MMCS detected an error in a bulk power module at location R17-B-P8. Error type is general bulk power module fault.,3299
e4a92843,Unable to read bulk power modules   :  ,6
48e5388c,ela_server terminated stopped by administrator. Recovery Action: administrator must restart server.,2
83654b8b,ela_server terminated normally with exit code 0. Recovery Action: BGPMaster will restart server in 20 seconds.,3
c5d2c14d,The global interrupt link test failed because the global interrupt status DCR register for  contained an incorrect value. Expected  but was actually  The failure occurred while the global interrupts were being propagated to the link cards but not while wrapping at the compute group or node card.,160
800d7ff7,The mailbox command failed: cmd=0xFFFF ,536
51bb9eec,Unable to send ELF Image CRCs to this node,512
4a261bc9,An unsupported mailbox command was received from a node:  ,2
419742b9,The mailbox write was not acknowledged. cmd=0x0000,40
ba98dad1,The BPC Access Instruction Register is completely invalid:  ,8930
8dc900ad,MMCS detected a voltage error on the card at location ,1621
a14a66c3,The BPC Instruction Status Register had an error following a power-on reset: ,10555
55c04800,A Link Chip did not indicate HSS Readys: HssStatus for ports C... = 0x0000000000000000,16
9ea357c2,1.8vV power rail is low: 1.252V,1
0254c727,1.5V power rail is low: 0.144V,1
c5e7a590,1.2 power rail is low ,17
c0d1f2cc,This cards VPD has incorrect data :  sChipEcid=0000000000000000000000000000,24
e3011ebc,1.8 Power Rail is low ,8
8fbedf47,ACCESS_SCOM_STAT:  SCDATAGD never  during  sequence on ,144
239e912a,ACCESS_SCOM_STAT:  SCIDLE on ,72
2f94dbce,ACCESS_SCOM_STAT: ffffffff The remaining sequencer bits on ,24
ce654518,ECID: -no data- is invalid on ,24
8303c4bc,ACCESS: 8840fefe    on ,72
36c40960,ACCESS: 8840fefe SCom Attention on ,24
9aa17980,Lbist Scom register  not cleared on ,26
1c0ae793,HBIST loopback shows error on R35-M1-L0-U05 port A expected 0xffffe00000000000 actual 0x0000000000000000. Channels failed: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18.,1
a2706e25,HBIST loopback shows error on R35-M1-L1-U00 port A expected 0xffffe00000000000 actual 0xffffeffff4000000. Unable to decode any failing channels.,1
52fd66ad,Invalid JTAG id  on ,1040
9b9fedae,The global interrupt test  has failed because clock start error on  has failed.,32
f5d7ad83,A processor cards VPD has incorrect data :   ,553
9318227b,Service Action  turned off all  in ,12
0062d5d3,Successfully prepared this service card for service.,6
eee7348e,Broken power module :  rc=0xFFFFFFFF,130
18c9a27e,Link card did not become operational:  status=0xffffffff,5
fb284353,Initialization of this card failed : iRc=-1,17
dc0f9aab,The  volt rail voltage is in error.,32
128e3bb4,Service Action 4334 on R35-M1 failed with error code 16. All node cards in midplane R35-M1 could not be restarted. See log for details. Examine the log file ... for information related to the failure.,1
4bada7db,Service Action  restarted all  in ,6
189361dd,Service Action  restarted ServiceCard in ,3
ee7d089a,SerDes Training Failure on   receiver. Location:   ,21
69649ea2,SerDes training failure at location   ,17
b87e38e4,The global interrupt test  has failed because the setting of the interrupt  for  has failed.,5
46a68574,The card was not visible after reloading its firmware,3
0df34de8,Missing bulk power module : BPM=R36-B-P8,1
4ab807c6,submit_server terminated stopped by administrator. Recovery Action: administrator must restart server.,1
514b2bae,DMA SRAM correctable error over threshold (Local FIFO SRAM 1) Internal Register $(DCR) : $(VALUE) Threshold: $(THRESHOLD),1
ff539a3b,Unable to reset Power Module faults :  ,214
d3000fff,Unable to power on node card :   ,201
6ca0db40,Power didnt come on problem writing to power supply control register: rc=-6,32
58011097,Unable to determine voltage requirements for this node card: Reason=Unable to read processor cards VPD readProcessorCardVpd failed rc=-1,1
09d54b22,Problem reading the sensors: ,987
84137178,Can no longer talk to this iCon.,990
0b4fa2d8,A Link Chip byte alignment procedure failed: C ParStat1 = 0x2000000000000000 - bad wire... = 0,3
4250983d,The HSS training pattern messages were not received from the nodes being booted on this node card.,3279
297dbd7f,The global interrupts for this node was not the expected value.,136
cb0f87f9,IOCard  has a duplicate MAC address of ,2
8594b905,A kernel panic has occurred : machine check,1
f9440b30,Problem reading the BPC Instruction Status Register: rc=-6,66
f8ad4fef,Broken FATAL  DefaultControlEventListener   All the bulk power modules for this midplane are incoherent apparently the i2c bus is broken,40
51fed634,Unable to configure this cards global interrupts for Up OR Domain: rc=-6,285
c5f3a842,The SRAM write failed: rc=-6,2
8b464be4,Problem lowering the PGOOD signal: rc=-6,2
845e249d,Detected that an over-temperature condition has previously occurred on this card (the card was powered off at that time). ADT7461_ASIC_ERROR=0x20 ADT7461_INTERNAL_ERROR=0x0 WatchdogError=0x0,1
d1795305,MMCS detected a temperature reading at location R00-M1-L2 that is out of the range of expected values. The temperature reading was 32.,1
4050c9ca,The global interrupt test  has failed because  has a bad initialization.,5
5a5fff63,A kernel panic has occurred : kernel access of bad area,2
f869983e,Bootloader image CRC check failed. LR=0xFFFFC774 MCSR=0x00000000 MCSRR0=0x00000000 CSRR0=0x00000000 SRR0=0xFFFFFD00 DEAR=0x00000000 ESR=0x00000000,1
704843d3,MMCS detected an error in a bulk power module at location R36. This is a fatal condition due to the presence of other failed bulk power modules in this rack. The rack is being partially or completely disabled.,132
d9f9cd35,An ECC uncorrectable error occurred in DRAM. DDR Controller 0 no address captured.,101
f4b6eeda,DDR controller machine check. DDR Controller 0 raised machine checks: MM Unit Uncorrectable Error MM Address Parity Error no address captured.,15
